ID_Item,Data,Qtd_Vendida,Tipo_Jogo,Tipo_Midia,Classif_Etaria,Plataforma,Nota_Critica,Lead_Time,Evento_Especial
RSG-07,2026-02-11,54,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-11,17,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-12,32,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-12,27,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-12,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-12,23,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-12,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-12,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-12,51,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-12,17,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-13,33,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-13,28,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-13,10,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-13,21,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-13,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-13,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-13,51,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-13,20,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-14,45,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-14,33,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-14,14,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-14,26,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-14,9,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-14,16,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-14,61,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-14,19,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-15,57,RPG,Digital,18+,PS5,94,2,Promocao
RSG-02,2026-02-15,50,Esportes,Fisica,Livre,Xbox,82,5,Promocao
RSG-03,2026-02-15,18,Cartas,Fisica,12+,Switch,88,10,Promocao
RSG-04,2026-02-15,40,Acao,Digital,16+,PC,90,1,Promocao
RSG-05,2026-02-15,13,Simulacao,Fisica,Livre,PC,75,12,Promocao
RSG-06,2026-02-15,20,Luta,Digital,14+,PS5,81,2,Promocao
RSG-07,2026-02-15,79,Aventura,Fisica,10+,Switch,96,15,Promocao
RSG-08,2026-02-15,28,Estrategia,Digital,Livre,PC,84,1,Promocao
RSG-01,2026-02-16,35,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-16,25,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-16,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-16,26,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-16,9,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-16,15,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-16,60,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-16,16,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-17,38,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-17,28,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-17,14,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-17,22,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-17,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-17,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-17,39,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-17,17,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-18,32,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-18,28,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-18,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-18,29,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-18,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-18,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-18,45,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-18,18,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-19,30,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-19,33,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-19,13,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-19,23,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-19,6,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-19,15,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-19,49,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-19,20,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-20,29,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-20,26,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-20,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-20,25,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-20,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-20,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-20,44,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-20,17,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-21,42,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-21,35,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-21,15,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-21,26,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-21,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-21,18,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-21,61,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-21,19,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-22,48,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-22,33,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-22,16,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-22,30,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-22,11,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-22,19,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-22,58,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-22,23,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-23,37,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-23,31,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-23,10,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-23,26,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-23,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-23,11,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-23,44,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-23,14,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-24,34,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-24,30,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-24,13,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-24,25,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-24,9,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-24,12,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-24,41,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-24,17,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-25,36,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-25,27,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-25,9,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-25,24,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-25,6,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-25,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-25,51,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-25,16,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-26,33,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-26,25,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-26,11,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-26,27,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-26,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-26,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-26,47,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-26,16,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-27,34,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-27,25,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-27,11,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-27,22,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-27,9,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-27,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-27,46,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-27,18,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-28,41,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-28,32,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-28,15,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-28,32,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-28,9,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-28,15,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-28,58,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-28,16,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-03-01,35,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-03-01,38,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-03-01,16,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-03-01,29,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-03-01,10,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-03-01,17,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-03-01,78,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-03-01,24,Estrategia,Digital,Livre,PC,84,1,Nenhum
